from,to,relation,member,time,money
arpre,tomba,bs,ubemi,,
alfi,scient,,bemi,,gespezuorg
baebr,sahive,ceo,,,
sahi,seao,work,bemi,,
kede,sahive,bs,,,
baebr,scient,,bemi,,
mihi,scient,,bemi,,
mihi,sahi,pb,,,
mewibe,mihi,ceo,,,
mewibe,kede,bs,,,
mewibe,sahive,bs,,,
sashi,jfmr,bs,bemi,,
sashi,mihi,pb,,,
sashi,sahi,pb,,,
sadi,seao,bs,bemi,,
sadi,cadoim,ceo,,,
tada,sadi,pb,,,
tada,cadoim,ceo,,zehnbiszwanzig,
tada,seao,bs,bemi,,
beco,seao,bs,bemi,,
beco,cadoim,work,,,
thdo,cadoim,ceo,,,
thdo,seao,bs,bemi,,
rg,dg,pb,,,
rg,nmk,ceo,,unterfuenf,
dg,nmk,work,,unterfuenf,
nmk,bost,bs,,unterfuenf,
nmk,ekm,bs,,unterfuenf,
nmk,tgw,bs,,unterfuenf,
nmk,tsm,bs,,unterfuenf,
nmk,mram,bs,,unterfuenf,
nmk,vmram,bs,,unterfuenf,
nmk,bius,bs,,unterfuenf,
nmk,ihed,bs,,unterfuenf,
rg,gwp,ceo,,,
ccd,scient,,bemi,,
sccm,scient,,bemi,,
alfiinsta,alfi,ceo,,,
sckb,scient,,bemi,,
sckbw,scient,,bemi,,
sckbe,scient,,bemi,,
sckhh,scient,,bemi,,
sckhe,scient,,bemi,,
scknw,scient,,bemi,,
prt,ztp,ceo,ubemi,,
svt,ztp,ceo,ubemi,,
ztp,wise,,,,
cadoim,wise,,,,
guw,seao,,bemi,,
cah,seao,,ubemi,,
guw,wai,work,,,
cah,wai,work,,,
irtt,agi,ceo,ubemi,,
pet,agi,ceo,ubemi,,
pet,seao,,,,
irtt,seao,,,,
fs,nmk,work,,,
fs,susi,ceo,,,
ml,hl,pb,,,
ml,nmk,work,,,
hl,nmk,work,,,
ml,sckbw,,bemi,,
hl,sckbw,,bemi,,
fs,sckbw,,ubemi,,
ub,hb,pb,,,
ub,nmk,work,,,
hb,kug,ceo,,,
rg,scient,,ubemi,,
dg,scient,,ubemi,,
jl,nmk,work,,,
jl,apvm,ceo,,,
aw,nmk,work,,,
aw,td,work,,,
aw,md,work,,,
md,trb,ceo,,,
as,nmk,work,,,
hk,nmk,work,,,
hk,kks,ceo,,,
ub,scient,,ubemi,,gespezuorg
hb,scient,,ubemi,,gespezuorg
hk,sckbw,work,,,
seao,scient,,bemi,,
gs,hlu,ceo,,,
gs,tge,ceo,,,
ncm,bt,bs,,,
jh,jfmr,ceo,bemi,,
jh,snzd,work,bemi,,
mg,bgb,ceo,,,
gs,aa,ceo,,,
scient,wise,,bemi,,
scient,kvpm,,bemi,,
scient,able,,bemi,,
scient,snzd,,bemi,,
scient,jfmr,,bemi,,
scient,dezg,,bemi,,
scient,nepi,,bemi,,
scient,ncn,,bemi,,
scient,snzd,,bemi,,
scient,jfmr,,bemi,,
scient,zbw,,bemi,,
sahive,scient,bs,,,
kede,scient,bs,,,
td,md,pb,,,
heka,seao,work,bemi,,
heka,sckbw,work,bemi,,
nmk,wise,,,,
heka,nmk,work,,,
em,scient,bs,,,
kf,scient,,bemi,,
dsa,scient,work,bemi,,
rd,scient,bs,bemi,,
rd,rda,ceo,,,
gh,rd,work,,,
gs,scient,,bemi,,
cr,scient,,bemi,,
gha,scient,bs,bemi,,gespezuorg
gha,wise,,bemi,,
spr,scient,,bemi,,
fr,scient,,bemi,,
rs,sckb,,bemi,,
hs,sckb,work,ubemi,,
rk,sckb,work,ubemi,,
ea,dezg,work,ubemi,,
mg,liz,ceo,,,
mg,sckb,bs,,,
as,scient,bs,bemi,,gespezuorg
herbm,susam,pb,,,
herbm,scient,bs,bemi,ueberzwanzig,gespezuorg
susam,scient,bs,bemi,ueberzwanzig,gespezuorg
plabu,herbm,ceo,,,
franmo,susam,pb,,,
franmo,herbm,pb,,,
franmo,plabu,ceo,,,
raimar,plabu,ceo,,,
raimar,susam,pb,,,
raimar,franmo,pb,,,
raimar,herbm,pb,,,
phmar,plabu,ceo,,,
phmar,franmo,pb,,,
phmar,herbm,pb,,,
phmar,susam,pb,,,
adre,ccd,ceo,bemi,,gespezuorg
adre,koim,immo,bemi,,
adre,scient,bs,bemi,zehnbiszwanzig,gespezuorg
gl,mal,pb,,,
gl,js,pb,,,
gl,ml,pb,,,
sil,scient,bs,bemi,ueberzwanzig,gespezuorg
dennr,scient,bs,bemi,ueberzwanzig,gespezuorg
sil,ibh,ceo,,,
gl,hl,pb,,,
gl,al,pb,,,
mal,scient,bs,bemi,,gespezuorg
js,scient,bs,bemi,,gespezuorg
ml,scient,bs,bemi,,gespezuorg
al,scient,bs,bemi,,gespezuorg
marb,sbe,pb,,,
marb,gbe,pb,,,
marb,obe,pb,,,
sbe,gbe,pb,,,
sbe,obe,pb,,,
gbe,obe,pb,,,
marb,scient,bs,bemi,,gespezuorg
hl,scient,bs,bemi,,gespezuorg
gl,scient,bs,bemi,,gespezuorg
sbe,scient,bs,bemi,,gespezuorg
dennr,ibh,work,,,
sil,dennr,pb,,,
herbm,heger,ceo,,,
gbe,scient,bs,bemi,,gespezuorg
obe,scient,bs,bemi,,gespezuorg
sbe,fsc,ceo,,,
siw,biw,pb,,,
prt,svt,pb,,,
maa,ana,pb,,,
beg,mag,pb,,,
axz,chz,pb,,,
irtt,pet,pb,,,
mig,kahg,pb,,,
ziel,scient,work,bemi,,
ziel,liz,work,,,
